Internal ID,Name,Display Name,Description,Type,Inventory Location,Location,Location On Hand,Formula (Numeric)
3698,AKBKCCK,AKBKCCK,Activity Book - Cupcakes  ,Inventory Item,Pride Industries,,2032,2032
3697,AKBKFLW,AKBKFLW,Activity Book - Flowers ,Inventory Item,Pride Industries,,5217,5217
3696,AKBKVEH,AKBKVEH,Activity Book - Vehicles ,Inventory Item,Pride Industries,,413,413
3711,AKSTKCCK,AKSTKCCK,Activity Kit Stickers - Cupcake - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,5934,5934
3708,AKSTKFLW,AKSTKFLW,Activity Kit Stickers - Flowers - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,9757,9757
3703,AKSTKVEH,AKSTKVEH,Activity Kit Stickers - Vehicle - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,4753,4753
1755,BEAR-COND-BLUE-7461C,BEAR-COND-BLUE-7461C,Conductor Bear - TOOLSET BLUE 7461C -  CC10117561WE - Bulk Packed,Inventory Item,Pride Industries,,184,184
2171,BEAR-PILOT-SEA BLUE 298C,BEAR-PILOT-SEA BLUE 298C,Seacopter Bear - 298C BLUE PCR 9607S -  CC10126254WE - Bulk Packed,Inventory Item,Pride Industries,,356,356
1760,BEAR-PILOT-SEA ORANGE 151C,BEAR-PILOT-SEA ORANGE 151C,Seacopter Bear - 2151C ORANGE PCR 9607 -  CC10134932WE - Bulk Packed,Inventory Item,Pride Industries,,60,60
3069,BKBT-4341,BKBT-4341,Green Toys Book: Boats Built for Speed with Davey & Pearl....,Inventory Item,Pride Industries,,5,5
3070,BKTK-4342,BKTK-4342,"Green Toys Book: Mixed-Up Trucks with Baxter, Rosie & Gus....",Inventory Item,Pride Industries,,120,120
3071,BKTN-4340,BKTN-4340,Green Toys Book: Train off the Rails with Kody and Dot..,Inventory Item,Pride Industries,,144,144
281,BRD01R,BRD01R,Sandwich Shop Sliced Bread,Inventory Item,Pride Industries,,836,836
793,BTLB-1103,BTLB-1103,GT  Launch Boat - Blue,Inventory Item,Pride Industries,,5,5
2153,BTLB-ASSY,BTLB-ASSY,Green Toys Launch Boat (Blue) Assembly,Inventory Item,Pride Industries,,9.76,9.76
794,BTRO-1104,BTRO-1104,GT  Race Boat - Orange,Inventory Item,Pride Industries,,276,276
2152,BTRO-ASSY,BTRO-ASSY,Green Toys Race Boat (Orange) Assembly,Inventory Item,Pride Industries,,36.76,36.76
796,BTSG-1102,BTSG-1102,GT  Speed Boat - Green,Inventory Item,Pride Industries,,1692,1692
2162,BTSG-ASSY,BTSG-ASSY,Green Toys Speed Boat (Green) Assembly,Inventory Item,Pride Industries,,48.76,48.76
338,BUC01R,BUC01R,Green Sand Bucket,Inventory Item,Pride Industries,,14.2,14.2
265,BUC01R-BL,BUC01R-BL,Blue Sand Bucket - CC10126439WE,Inventory Item,Pride Industries,,35.2,35.2
266,BUC01R-PK,BUC01R-PK,Pink Sand Bucket - CC10107335WE,Inventory Item,Pride Industries,,.2,.2
2167,CDPA-ASSY,CDPA-ASSY,Dumper Assembly with Construction Dog,Inventory Item,Pride Industries,,22,22
3710,CRYNCCK,CRYNCCK,"Crayon Assembly - Cupcake Activity Kits (Yellow, Green, Red, Pink, Brown) ",Inventory Item,Pride Industries,,7053,7053
3707,CRYNFLW,CRYNFLW,"Crayon Assembly - Flower Activity Kits (Yellow, Green, Blue, Pink, Purple) ",Inventory Item,Pride Industries,,10000,10000
3702,CRYNVEH,CRYNVEH,"Crayon Assembly - Vehicle Activity Kits (Yellow, Green, Blue, Red, Black) ",Inventory Item,Pride Industries,,5119,5119
261,CUP01R-R,CUP01R-R,Tea Cup - Red Cap - CC10126692WE,Inventory Item,Pride Industries,,14000,14000
2157,DMP01R,DMP01R,Dump Truck Assembled,Inventory Item,Pride Industries,,9,9
1756,DOG-CONST-GREEN362,DOG-CONST-GREEN362,Construction Dog - 362U DK GREEN -  CC10118086WE - Bulk Packed,Inventory Item,Pride Industries,,22,22
137,DTK01R,DTK01R,GT  Dump Truck,Inventory Item,Pride Industries,,504,504
2154,DUCK-YELLOW,DUCK-YELLOW,Boating Duck - YELLOW DUCK PCR 96 -  CC10126691WE - Bulk Packed,Inventory Item,Pride Industries,,204,204
360,FRK01R,FRK01R,Yellow Fork,Inventory Item,Pride Industries,,202,202
2169,HELY-ASSY,HELY-ASSY,Green Toys Helicopter Assembly - ORIG YELLOW 129C - CC10106976WE - Bulk Packed,Inventory Item,Pride Industries,,56,56
358,KNF01R,KNF01R,Yellow Knife,Inventory Item,Pride Industries,,175,175
243,KTB01R,KTB01R,Pink Kettle Bottom - Redesign - QT#15889.6,Inventory Item,Pride Industries,,81,81
244,LAD01R-YW,LAD01R-YW,Yellow Ladle  - CC10106976WE - YELLOW 129C,Inventory Item,Pride Industries,,253,253
245,LID01R-Y,LID01R-Y,Lid Sugar Bowl - Yellow 129 - CC10106976WE,Inventory Item,Pride Industries,,2750,2750
227,LID02R,LID02R,Tea Pot Lid (Redesign) - Purple 264C - CC10107344WE,Inventory Item,Pride Industries,,257,257
225,LID02R-G,LID02R-G,Lid Tea Pot - New Design - Green 367C - CC10106972WE,Inventory Item,Pride Industries,,122,122
2159,MES02R,MES02R,"22"" mesh bag, 100% recycled, clear, heat sealed on one side- MOQ 25,000....",Inventory Item,Pride Industries,,1009,1009
1481,MFBR-ASSY,MFBR-ASSY,Mini Fastback - Red - Assembly - 24 units per shipper carton,Inventory Item,Pride Industries,,507,507
310,MLD01R,MLD01R,Blue Sand Castle Mold,Inventory Item,Pride Industries,,44,44
2253,PKG15x11x11,PKG15x11x11,"15x11x11 RSC 32ECT,  25/Bundle MOQ 25, 300 unit pricing ..",Inventory Item,Pride Industries,,21.99,21.99
3705,PKGAKAMCT,PKGAKAMCT,Green Toys Activity Kit Master Carton - 6PK ,Inventory Item,Pride Industries,,1227.3,1227.3
3712,PKGAKCCRTL,PKGAKCCRTL,Green Toys Activity Kit Retail - Cupcake ,Inventory Item,Pride Industries,,1207,1207
3706,PKGAKCRYN,PKGAKCRYN,Green Toys Activity Kit Crayon Box ,Inventory Item,Pride Industries,,6990,6990
3704,PKGAKFBRTL,PKGAKFBRTL,Green Toys Activity Kit Retail - Cars ,Inventory Item,Pride Industries,,382,382
3709,PKGAKFLRTL,PKGAKFLRTL,Green Toys Activity Kit Retail - Flowers ,Inventory Item,Pride Industries,,2160,2160
444,PKGSTSMCT,PKGSTSMCT,Sandwich Shop Master Carton - 200T,Inventory Item,Pride Industries,,62,62
461,PKGSTSRTL,PKGSTSRTL,Sandwich Shop Retail Package - 150T,Inventory Item,Pride Industries,,445,445
414,PKGTEAMCT02,PKGTEAMCT02,Tea Set Master Carton - New Blue & Pink MCT - 6 pack,Inventory Item,Pride Industries,,996.87998,996.87998
459,PKGTEARISB,PKGTEARISB,Tea Set Retail Package Insert Bottom,Inventory Item,Pride Industries,,3225,3225
435,PKGTEARIST02,PKGTEARIST02,Tea Set Retail Package Insert Top - REVISED DIE,Inventory Item,Pride Industries,,5877,5877
335,PLT01R,PLT01R,Green Dinner Plate,Inventory Item,Pride Industries,,69,69
233,POT01R-RD,POT01R-RD,Red Stock Pot - CC10126692WE - RED CAP PCR 9607S,Inventory Item,Pride Industries,,197,197
349,RAK01R,RAK01R,Orange Sand Rake,Inventory Item,Pride Industries,,110,110
270,RAK01R-GR,RAK01R-GR,Green Sand Rake - CC10106972WE,Inventory Item,Pride Industries,,192,192
263,RAK01R-YW,RAK01R-YW,Sand Rake - Yellow - CC10126691WE,Inventory Item,Pride Industries,,288,288
2168,RBH1-ASSY,RBH1-ASSY,Assembled Rescue Boat (QT# 16946.2)....,Inventory Item,Pride Industries,,4,4
4077,ROP03,ROP03,"Bucket: -3/8"", SB 20 carrier coreless, 100% cotton, block creel, bulk spools. 19.5"" pre-cut ",Inventory Item,Pride Industries,,5338,5338
350,SAU01R,SAU01R,Green Cup Saucer,Inventory Item,Pride Industries,,311,311
257,SAU01R-PR,SAU01R-PR,Saucer - Purple 264C - CC10107344WE,Inventory Item,Pride Industries,,307,307
1768,SEAG-ASSY,SEAG-ASSY,Green Toys Seaplane Assembly - Green,Inventory Item,Pride Industries,,15,15
1767,SEAY-ASSY,SEAY-ASSY,Green Toys Seaplane Assembly - Yellow,Inventory Item,Pride Industries,,15,15
336,SHV01R,SHV01R,Orange Sand Shovel,Inventory Item,Pride Industries,,74,74
264,SHV01R-GR,SHV01R-GR,Green Sand Shovel - CC10106972WE,Inventory Item,Pride Industries,,257,257
271,SHV01R-YW,SHV01R-YW,Shovel - Yellow - CC10126691WE,Inventory Item,Pride Industries,,341,341
359,SPN01R,SPN01R,Yellow Spoon,Inventory Item,Pride Industries,,1632,1632
240,SPT01R-YW,SPT01R-YW,Yellow Spatula  - CC10106976WE - YELLOW 129C,Inventory Item,Pride Industries,,265,265
1763,STCA-ASSY,STCA-ASSY,Stacking Cups Assembly w/Ecoprime,Inventory Item,Pride Industries,,7,7
222,SUG02R-Y,SUG02R-Y,Sugar Bowl Base - Holes added - Yellow 129C - CC10106976WE,Inventory Item,Pride Industries,,2750,2750
1042,TLSB-1019,TLSB-1019,Green Toys Tool Set - Blue - 14 pieces,Assembly/Bill of Materials,Pride Industries,,4,4
226,TOP01R-RD,TOP01R-RD,Red Stock Pot Lid - CC10126692WE - RED CAP PCR 9607S,Inventory Item,Pride Industries,,194,194
