Internal ID,Name,Type,NEW PREF LOC
3799,AKCC-1194,Assembly/Bill of Materials,153 Tigers Hayward
3798,AKFC-1193,Assembly/Bill of Materials,153 Tigers Hayward
3797,AKVC-1192,Assembly/Bill of Materials,153 Tigers Hayward
3790,CCKA-2PKA,Assembly/Bill of Materials,153 Tigers Hayward
3791,CCKA-2PKB,Assembly/Bill of Materials,153 Tigers Hayward
3792,CCKA-2PKC,Assembly/Bill of Materials,153 Tigers Hayward
3787,CCKIND-PVY,Assembly/Bill of Materials,153 Tigers Hayward
3789,CCKIND-VYP,Assembly/Bill of Materials,153 Tigers Hayward
3788,CCKIND-YPV,Assembly/Bill of Materials,153 Tigers Hayward
3774,FLAKA-ASSY,Assembly/Bill of Materials,153 Tigers Hayward
3775,FLAKB-ASSY,Assembly/Bill of Materials,153 Tigers Hayward
3776,FLAKC-ASSY,Assembly/Bill of Materials,153 Tigers Hayward
3777,FLAKD-ASSY,Assembly/Bill of Materials,153 Tigers Hayward
618,FLWA-1012,Assembly/Bill of Materials,153 Tigers Hayward
4274,FLWA2-1285,Assembly/Bill of Materials,153 Tigers Hayward
3941,LBBK-1191,Assembly/Bill of Materials,153 Tigers Hayward
3940,SCBK-1190,Assembly/Bill of Materials,153 Tigers Hayward